,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
72,-4.08746,-3.84932,0.624177,-251.407,11.1502,-87.8497,-70.9509,42.0083,54.2728,-9.92897,2354.03,170.62,76.5594,7041.66,2400.86,-66.8549,46.2759
73,-4.09384,-3.83438,0.624574,-253.841,7.35732,-89.7122,-73.8701,42.7623,53.0251,-9.34501,2354.28,182.065,74.9744,6603.14,2400.87,-66.4866,46.2759
74,-4.08832,-3.84932,0.624239,-250.258,11.2438,-85.8817,-71.7109,43.8324,53.9658,-9.70425,2354.07,172.307,75.307,6790.92,2400.86,-66.6699,46.2759
76,-4.0892,-3.84932,0.624303,-251.035,11.8411,-87.4091,-70.8643,42.0347,54.3748,-10.8487,2354.06,172.82,76.6036,7034.44,2400.86,-66.7747,46.2759
77,-4.09209,-3.84932,0.624447,-253.936,6.36589,-90.684,-72.9875,41.9203,54.0614,-9.27422,2354.1,172.448,76.0591,6917.37,2400.87,-66.601,46.276
78,-4.09009,-3.84932,0.624368,-249.546,12.155,-86.3246,-69.9367,42.5486,53.9897,-8.98623,2353.98,167.835,76.3731,7052.8,2400.86,-66.8664,46.2759
79,-4.09119,-3.84932,0.624381,-254.979,6.72881,-91.0028,-73.5694,42.2583,54.3275,-9.81184,2354.08,171.501,76.6523,7032.95,2400.86,-66.8531,46.2761
80,-4.091,-3.84932,0.624434,-248.966,11.3596,-86.4691,-69.3062,41.1878,55.4588,-10.5142,2353.99,167.356,76.0464,7041.81,2400.86,-66.7664,46.2759
81,-4.09027,-3.77559,0.624316,-255.235,4.08492,-92.4533,-74.0514,40.2373,54.3374,-10.6282,2354.1,171.632,76.1974,6969.66,2400.87,-66.7344,46.276
82,-4.09191,-3.84891,0.624498,-249.989,12.9486,-85.8226,-70.7328,43.3915,54.2398,-9.96743,2354.09,174.549,75.9526,6878.92,2400.86,-66.629,46.2759
83,-4.08938,-3.6125,0.624252,-255.769,6.11707,-93.6276,-72.1832,40.3368,53.6735,-8.56933,2353.96,166.141,78.3749,7433.12,2400.86,-67.3791,46.2761
