,loudness-0,loudness-1,loudness-2,bufmfcc_feats-0,bufmfcc_feats-1,bufmfcc_feats-2,bufmfcc_feats-3,bufmfcc_feats-4,bufmfcc_feats-5,bufmfcc_feats-6,spectral-0,spectral-1,spectral-2,spectral-3,spectral-4,spectral-5,spectral-6
2020,-2.1974,-0.666014,0.773079,-230.787,61.6639,-45.5325,-103.158,-38.0984,29.8223,46.0766,1545.55,148.207,92.8376,10323.0,1587.98,-70.8608,47.4543
2021,-2.23552,-0.309779,0.773462,-227.813,65.3362,-41.2242,-99.8926,-37.4711,31.7351,47.6526,1545.53,149.393,92.2313,10186.6,1587.98,-70.7482,47.454
2022,-2.23122,-0.665978,0.776904,-227.396,63.3052,-42.3264,-100.638,-36.9519,30.1651,48.2529,1545.64,154.573,90.7015,9746.24,1587.98,-70.3332,47.454
2023,-2.19266,-0.530734,0.7769,-232.321,58.3834,-48.4901,-104.782,-39.8129,27.1532,47.1842,1545.67,154.527,91.616,9894.01,1587.98,-70.6318,47.4543
2024,-2.1927,-0.665978,0.773457,-231.751,59.8268,-46.2749,-104.583,-39.4982,28.9789,46.351,1545.64,153.837,91.3267,9845.38,1587.98,-70.5968,47.4542
2025,-2.23128,-0.193273,0.773082,-228.383,64.3649,-42.73,-100.53,-38.0181,30.3552,47.1643,1545.52,148.841,92.7222,10301.0,1587.98,-70.8327,47.4541
2026,-2.23549,-0.666183,0.776485,-228.186,63.378,-41.9667,-101.612,-37.3965,29.5278,48.3982,1545.6,153.066,90.7184,9749.17,1587.98,-70.2984,47.454
2027,-2.19734,-0.436316,0.77723,-231.471,58.3171,-47.1605,-105.096,-39.5396,28.303,45.3852,1545.63,151.623,91.1819,9870.33,1587.98,-70.4574,47.4543
2028,-2.18901,-0.660286,0.773912,-232.047,59.9191,-48.6888,-103.228,-39.9232,28.5438,45.8708,1545.57,148.76,93.1832,10371.6,1587.98,-71.0662,47.4543
2029,-2.22617,-0.181811,0.772799,-227.532,64.2055,-42.4984,-99.8605,-36.9957,29.8234,48.7073,1545.53,148.574,91.8375,10096.6,1587.98,-70.5208,47.4541
2030,-2.23867,-0.666157,0.776001,-226.086,63.3172,-41.6461,-98.925,-37.9154,30.3741,49.3932,1545.61,152.498,90.4289,9740.55,1587.98,-70.0414,47.454
2031,-2.20276,-0.25335,0.777458,-229.381,59.1597,-46.7861,-102.784,-37.8443,26.6253,48.6539,1545.69,154.627,90.0932,9582.79,1587.98,-70.4559,47.4542
2032,-2.18646,-0.66616,0.774423,-231.02,55.8342,-47.3364,-106.293,-40.0168,27.6913,45.1407,1545.76,157.599,88.6675,9249.19,1587.99,-70.0993,47.4542
2033,-2.22044,-0.274512,0.772626,-228.2,62.1966,-41.9053,-102.847,-37.0493,29.4803,47.1691,1545.66,155.672,89.509,9433.39,1587.98,-70.3098,47.454
2034,-2.24061,-0.66617,0.775471,-228.908,64.6725,-40.7788,-102.449,-36.8995,30.4234,46.9997,1545.63,155.753,90.7693,9704.24,1587.98,-70.551,47.454
2035,-2.20869,-0.17644,0.777572,-230.647,60.5877,-45.7236,-103.966,-37.8839,27.6371,47.3094,1545.63,153.344,91.3367,9853.02,1587.98,-70.6194,47.4542
2036,-2.18519,-0.660483,0.774965,-232.708,56.7855,-49.5249,-105.598,-41.1754,27.5332,45.0209,1545.57,147.434,92.2071,10182.4,1587.98,-71.0067,47.4544
2037,-2.21436,-0.475122,0.77257,-228.229,62.5112,-42.0298,-101.82,-37.7384,31.2267,46.8833,1545.58,150.196,90.6944,9818.63,1587.98,-70.5995,47.4541
2038,-2.24124,-0.666183,0.774923,-227.193,65.2683,-41.7698,-99.345,-36.4966,29.4184,49.8702,1545.59,153.431,91.525,9922.97,1587.98,-70.458,47.454
2039,-2.21483,-0.204784,0.777568,-230.16,62.9514,-45.3472,-102.098,-36.4539,26.9088,50.0917,1545.61,153.266,92.1202,9996.76,1587.98,-70.6731,47.4542
2040,-2.18523,-0.666167,0.775514,-233.264,56.1633,-50.2307,-106.359,-41.1606,25.93,46.1475,1545.62,150.534,91.9861,10049.5,1587.98,-70.7223,47.4544
2041,-2.20821,-0.528433,0.772636,-229.693,62.0453,-44.1693,-102.975,-37.3659,28.4636,47.6023,1545.64,154.238,90.9019,9750.31,1587.98,-70.8574,47.4541
2042,-2.2405,-0.666167,0.774382,-227.526,64.1988,-42.141,-100.569,-36.8974,28.6198,48.737,1545.63,155.098,90.6767,9710.83,1587.98,-70.4992,47.454
2043,-2.22089,-0.328185,0.777444,-227.789,60.4606,-43.5726,-102.436,-37.4438,28.2318,47.917,1545.63,152.072,89.813,9586.2,1587.98,-70.4425,47.4541
2044,-2.18662,-0.666183,0.776041,-233.568,56.7282,-50.1307,-106.626,-40.6728,26.2319,45.3872,1545.61,150.498,92.5525,10180.1,1587.98,-70.8861,47.4544
2045,-2.20231,-0.576163,0.772819,-230.795,62.695,-43.9292,-103.454,-37.5854,30.4525,46.4105,1545.54,148.426,92.6621,10248.4,1587.98,-71.0363,47.4542
